p,n,dataset_n,expected_dataset_n,complete,seed_n,f1_mean,f1_std,far_mean,far_max,gap_mean,gap_std,posmin_mean,posmin_std,negmax_mean,negmax_std
0.1,1,1,5,False,1,0.9835,0.0,1.16,1.16,0.09,0.0,0.586,0.0,0.496,0.0
0.2,1,1,5,False,1,0.9865,0.0,1.01,1.01,0.098,0.0,0.544,0.0,0.446,0.0
0.3,1,1,5,False,1,0.9964,0.0,1.75,1.75,0.233,0.0,0.685,0.0,0.452,0.0
0.4,5,5,5,True,1,0.99368,0.0025153528579505363,21.061999999999998,76.21,-0.013200000000000007,0.1645545502257534,0.6708,0.06167414369085313,0.6839999999999999,0.1311716432770437
0.5,5,5,5,True,1,0.9961,0.001555634918610401,16.942,74.09,0.0868,0.12073607580172548,0.7476,0.05592226747906416,0.6608,0.11332122484336284
0.55,5,5,5,True,1,0.99562,0.00283054765019067,23.912,76.24,0.0946,0.22029366763481878,0.7488,0.08606799637495927,0.6542,0.14617010638294
0.575,5,5,5,True,1,0.99546,0.0030810712422792504,17.924,76.24,0.1568,0.19294092360098206,0.7444,0.03637719065568426,0.5876,0.1742922832485707
0.6,5,5,5,True,1,0.9945999999999999,0.004828560862203162,18.41,76.22,0.132,0.18477148048332567,0.734,0.07669745758498125,0.602,0.16439738440741689
0.625,5,5,5,True,1,0.99592,0.0014855975228843436,21.332,76.75,0.0816,0.15620595379178093,0.7368,0.054361751259502274,0.6552,0.13195719002767525
0.65,5,5,5,True,1,0.9961,0.001989974874213226,18.486,76.18,0.1376,0.17179871943643818,0.7585999999999999,0.05100294109166648,0.621,0.14905200434747598
0.7,5,5,5,True,1,0.99472,0.0014324803663575978,17.22,62.19,0.1336,0.1624786139773478,0.735,0.0813111308493493,0.6013999999999999,0.12087721042446341
0.8,5,5,5,True,1,0.99324,0.008221496214193609,34.69,76.19,0.0574,0.17378377369593515,0.711,0.11927070050938746,0.6536,0.19141525540039905
0.9,5,5,5,True,1,0.9954,0.0020748493921246432,18.018,76.3,0.1666,0.1548977081818837,0.7522,0.07261335965233946,0.5856,0.15656883470218458
1.0,5,5,5,True,1,0.99494,0.003058267483396417,26.65,64.0,0.0884,0.13894891147468555,0.7434000000000001,0.05234309887654725,0.655,0.14459771782431424
