p,n,dataset_n,seed_n,f1_mean,f1_std,far_mean,far_max,gap_mean,gap_std,posmin_mean,posmin_std,negmax_mean,negmax_std
0.1,2,1,2,0.97635,0.02595081886954634,0.8799999999999999,1.19,0.058,0.18950461735799473,0.5715,0.13647160876900372,0.5135000000000001,0.05303300858899111
0.2,2,1,2,0.99385,0.004171930009000642,2.76,4.06,0.045,0.06081118318204309,0.647,0.09192388155425119,0.602,0.03111269837220812
0.3,2,1,2,0.99265,0.0033234018715768,1.315,2.23,0.10850000000000001,0.033234018715767734,0.609,0.029698484809835023,0.5005,0.0035355339059327407
0.4,5,3,3,0.99118,0.005704559579844877,14.584,41.78,0.0772,0.12959243805099124,0.6642,0.07828920742988779,0.587,0.12824390823738957
0.5,5,3,3,0.99292,0.0025704085278414426,23.564,68.91,0.109,0.11784948027038558,0.7222,0.051992307123265843,0.6132,0.14872693098427062
0.55,5,3,3,0.98968,0.00560330259757584,17.8,30.83,0.000399999999999999,0.13881390420271306,0.644,0.10523307464861037,0.6436,0.1106607428133392
0.575,5,3,3,0.99434,0.0012401612798342053,27.716,52.98,0.0928,0.12859510099533342,0.7286,0.046117241894978914,0.6358,0.13738886417755988
0.6,4,2,3,0.993325,0.0039911360120480025,6.5475,21.17,0.16025,0.10029082709799536,0.70725,0.07093365444789472,0.547,0.09697766065783742
0.625,3,1,3,0.9883333333333333,0.009474351341032998,2.9966666666666666,7.68,0.12533333333333332,0.12166484016893843,0.6693333333333333,0.07200231477760513,0.544,0.09786214794290997
0.65,3,1,3,0.9960666666666667,0.0018009256878987034,0.2866666666666667,0.44,0.22499999999999998,0.05478138369920934,0.718,0.04680811895387378,0.493,0.04124318125460257
0.7,2,1,2,0.99735,0.0006363961030679012,37.644999999999996,74.91,0.03549999999999999,0.2467802666341051,0.6970000000000001,0.03535533905932733,0.6615,0.28213560569343243
0.8,2,1,2,0.99265,0.005444722215136444,6.784999999999999,13.37,0.126,0.15273506473629428,0.719,0.007071067811865481,0.593,0.14566399692442877
0.9,2,1,2,0.9944500000000001,0.002192031021678291,10.68,19.97,0.14550000000000002,0.06293250352560273,0.713,0.03252691193458122,0.5675,0.09545941546018392
1.0,2,1,2,0.99245,0.00487903679018719,24.025000000000002,32.06,-0.004,0.03676955262170047,0.72,0.06363961030678926,0.724,0.02687005768508883
