p,n,f1_mean,f1_min,far_mean,far_max,posmin_mean,negmax_mean,gap_mean
0.4,4,0.993275,0.9896,7.275,15.29,0.67875,0.6295,0.049249999999999995
0.5,4,0.995975,0.9936,2.6550000000000002,3.69,0.75225,0.6155,0.13675
0.55,4,0.9955,0.9907,10.83,23.57,0.7847500000000001,0.59475,0.19
0.575,4,0.9949250000000001,0.9902,3.345,10.31,0.75275,0.513,0.23975
0.6,4,0.9938,0.9863,3.9575,12.19,0.7375,0.5335,0.20400000000000001
0.625,4,0.995525,0.9943,7.4775,14.83,0.74125,0.6005,0.14075000000000001
0.65,4,0.995675,0.9927,4.0625,7.62,0.7675,0.5547500000000001,0.21275
0.7,4,0.994975,0.9927,5.9775,14.21,0.756,0.55275,0.20325
0.8,4,0.992125,0.9786,24.315,75.56,0.69025,0.60075,0.0895
0.9,4,0.99495,0.9921,3.4475,8.44,0.7455,0.52125,0.22425
1.0,4,0.99475,0.9896,17.3125,41.8,0.75825,0.619,0.13925
