iter,cell_id,train_id,inference_id,macro_f1,micro_f1,mAP,top1_11class,temperature,ece_post,source
1,T0__I0,T0,I0,0.7302,0.7432,0.6766,0.4472,1.0,0.0778,outputs/stage1_260505_162842
1,T0__I1,T0,I1,0.8444,0.8165,0.8339,0.6324,1.0,0.0778,outputs/stage1_260505_162842
1,T0__I2,T0,I2,0.7673,0.7928,0.8484,0.5739,1.0,0.0778,outputs/stage1_260505_162842
1,T0__I3,T0,I3,0.8466,0.8143,0.8484,0.6017,1.0,0.0778,outputs/stage1_260505_162842
1,T0__I4,T0,I4,0.8466,0.8143,0.8484,0.6017,0.3757,0.0129,outputs/stage1_260505_162842
1,T0__I5,T0,I5,0.8287,0.8022,0.8347,0.6011,0.3624,0.0109,outputs/stage1_260505_162842
2,T0__I6,T0,I6,0.8177,0.8127,0.8484,0.5881,1.0,0.0778,outputs/stage1_260505_165400
2,T0__I7,T0,I7,0.8485,0.8198,0.8484,0.621,1.0,0.0778,outputs/stage1_260505_165400
2,T0__I8,T0,I8,0.8456,0.8135,0.8484,0.6017,1.0,0.0778,outputs/stage1_260505_165400
2,T0__I9,T0,I9,0.7741,0.7584,0.7734,0.5341,0.73,0.0411,outputs/stage1_260505_165400
3,T0__I10,T0,I10,0.8542,0.8311,0.8484,0.6517,1.0,0.0778,outputs/stage1_260505_170827
4,T1__I0,T1,I0,0.7285,0.7385,0.6631,0.4432,1.0,0.1402,outputs/stage2_260505_170121
4,T1__I1,T1,I1,0.8384,0.8051,0.8536,0.6318,1.0,0.1402,outputs/stage2_260505_170121
4,T1__I2,T1,I2,0.7337,0.7414,0.8753,0.475,1.0,0.1402,outputs/stage2_260505_170121
4,T1__I3,T1,I3,0.8375,0.8148,0.8753,0.642,1.0,0.1402,outputs/stage2_260505_170121
4,T1__I4,T1,I4,0.8375,0.8148,0.8753,0.642,0.259,0.0195,outputs/stage2_260505_170121
4,T1__I6,T1,I6,0.8233,0.8064,0.8753,0.6125,1.0,0.1402,outputs/stage2_260505_170121
4,T1__I7,T1,I7,0.8289,0.805,0.8753,0.621,1.0,0.1402,outputs/stage2_260505_170121
4,T1__I8,T1,I8,0.7852,0.7566,0.8753,0.5239,1.0,0.1402,outputs/stage2_260505_170121
4,T1__I9,T1,I9,0.8033,0.795,0.7214,0.5903,0.2646,0.0196,outputs/stage2_260505_170121
4,T4__I0,T4,I0,0.7263,0.7391,0.6464,0.45,1.0,0.0238,outputs/stage2_260505_170121
4,T4__I1,T4,I1,0.7652,0.7766,0.8271,0.5631,1.0,0.0238,outputs/stage2_260505_170121
4,T4__I2,T4,I2,0.7445,0.7532,0.8445,0.5318,1.0,0.0238,outputs/stage2_260505_170121
4,T4__I3,T4,I3,0.7811,0.7885,0.8445,0.5881,1.0,0.0238,outputs/stage2_260505_170121
4,T4__I4,T4,I4,0.7811,0.7885,0.8445,0.5881,0.683,0.0083,outputs/stage2_260505_170121
4,T4__I6,T4,I6,0.7811,0.7885,0.8445,0.5881,1.0,0.0238,outputs/stage2_260505_170121
4,T4__I7,T4,I7,0.7766,0.7843,0.8445,0.583,1.0,0.0238,outputs/stage2_260505_170121
4,T4__I8,T4,I8,0.768,0.7754,0.8445,0.5699,1.0,0.0238,outputs/stage2_260505_170121
4,T4__I9,T4,I9,0.7811,0.7885,0.8445,0.5881,0.9541,0.0203,outputs/stage2_260505_170121
4,T5__I0,T5,I0,0.7297,0.7448,0.6571,0.45,1.0,0.0044,outputs/stage2_260505_170121
