chain,iter,tag,variant,bit_F1,ni_far_pct,ood_far_pct,total_far_pct,seed,LS,source
v5,1,iter50_clone_seed99_v3,I3,0.8880,1.30,5.16,2.23,99,0.30,outputs/iter50_clone_seed99_v3/20260516_073008_T7_iter50_clone_seed99_v3/eval_n2000_pred/stage1_260516_080044/preds_chip.parquet
v5,1,iter50_clone_seed99_v3,I7,0.8757,1.55,7.50,2.99,99,0.30,outputs/iter50_clone_seed99_v3/20260516_073008_T7_iter50_clone_seed99_v3/eval_n2000_pred/stage1_260516_080044/preds_chip.parquet
v5,1,iter50_clone_seed99_v3,I10,0.8778,0.00,0.16,0.04,99,0.30,outputs/iter50_clone_seed99_v3/20260516_073008_T7_iter50_clone_seed99_v3/eval_n2000_pred/stage1_260516_080044/preds_chip.parquet
v5,1,iter50_clone_seed99_v3,I13,0.8634,0.00,0.16,0.04,99,0.30,outputs/iter50_clone_seed99_v3/20260516_073008_T7_iter50_clone_seed99_v3/eval_n2000_pred/stage1_260516_080044/preds_chip.parquet
v5,2,iter50_clone_seed42_v4,I3,0.9596,8.10,13.59,9.43,42,0.30,outputs/iter50_clone_seed42_v4/20260516_105111_T7_iter50_clone_seed42_v4/eval_n2000_pred/stage1_260516_115724/preds_chip.parquet
v5,2,iter50_clone_seed42_v4,I7,0.9532,4.80,9.22,5.87,42,0.30,outputs/iter50_clone_seed42_v4/20260516_105111_T7_iter50_clone_seed42_v4/eval_n2000_pred/stage1_260516_115724/preds_chip.parquet
v5,2,iter50_clone_seed42_v4,I10,0.9583,0.00,1.25,0.30,42,0.30,outputs/iter50_clone_seed42_v4/20260516_105111_T7_iter50_clone_seed42_v4/eval_n2000_pred/stage1_260516_115724/preds_chip.parquet
v5,2,iter50_clone_seed42_v4,I13,0.9320,0.00,1.09,0.27,42,0.30,outputs/iter50_clone_seed42_v4/20260516_105111_T7_iter50_clone_seed42_v4/eval_n2000_pred/stage1_260516_115724/preds_chip.parquet
v5,3,iter50_clone_seed07_v4,I3,0.8757,100.00,100.00,100.00,7,0.30,outputs/iter50_clone_seed07_v4/20260516_103926_T7_iter50_clone_seed07_v4/eval_n2000_pred/stage1_260516_121239/preds_chip.parquet
v5,3,iter50_clone_seed07_v4,I7,0.8633,100.00,100.00,100.00,7,0.30,outputs/iter50_clone_seed07_v4/20260516_103926_T7_iter50_clone_seed07_v4/eval_n2000_pred/stage1_260516_121239/preds_chip.parquet
v5,3,iter50_clone_seed07_v4,I10,0.8787,19.40,14.53,18.22,7,0.30,outputs/iter50_clone_seed07_v4/20260516_103926_T7_iter50_clone_seed07_v4/eval_n2000_pred/stage1_260516_121239/preds_chip.parquet
v5,3,iter50_clone_seed07_v4,I13,0.7864,23.65,19.06,22.54,7,0.30,outputs/iter50_clone_seed07_v4/20260516_103926_T7_iter50_clone_seed07_v4/eval_n2000_pred/stage1_260516_121239/preds_chip.parquet
v5,4,iter50_clone_LS025_s1_v4,I3,0.8697,69.95,80.62,72.54,1,0.25,outputs/iter50_clone_LS025_s1_v4/20260516_113254_T7_iter50_clone_LS025_s1_v4/eval_n2000_pred/stage1_260516_122822/preds_chip.parquet
v5,4,iter50_clone_LS025_s1_v4,I7,0.8695,69.80,80.78,72.46,1,0.25,outputs/iter50_clone_LS025_s1_v4/20260516_113254_T7_iter50_clone_LS025_s1_v4/eval_n2000_pred/stage1_260516_122822/preds_chip.parquet
v5,4,iter50_clone_LS025_s1_v4,I10,0.9121,0.05,1.56,0.42,1,0.25,outputs/iter50_clone_LS025_s1_v4/20260516_113254_T7_iter50_clone_LS025_s1_v4/eval_n2000_pred/stage1_260516_122822/preds_chip.parquet
v5,4,iter50_clone_LS025_s1_v4,I13,0.8839,0.05,0.94,0.27,1,0.25,outputs/iter50_clone_LS025_s1_v4/20260516_113254_T7_iter50_clone_LS025_s1_v4/eval_n2000_pred/stage1_260516_122822/preds_chip.parquet
v6,1,iter116J_clone_s11,I3,0.8582,100.00,100.00,100.00,11,0.30,outputs/iter116J_clone_s11/20260517_082231_T7_iter116J_clone_s11/eval_n2000_pred/stage1_260517_084417/preds_chip.parquet
v6,1,iter116J_clone_s11,I7,0.8420,100.00,100.00,100.00,11,0.30,outputs/iter116J_clone_s11/20260517_082231_T7_iter116J_clone_s11/eval_n2000_pred/stage1_260517_084417/preds_chip.parquet
v6,1,iter116J_clone_s11,I10,0.8456,72.65,63.91,70.53,11,0.30,outputs/iter116J_clone_s11/20260517_082231_T7_iter116J_clone_s11/eval_n2000_pred/stage1_260517_084417/preds_chip.parquet
v6,1,iter116J_clone_s11,I13,0.7469,68.15,46.41,62.88,11,0.30,outputs/iter116J_clone_s11/20260517_082231_T7_iter116J_clone_s11/eval_n2000_pred/stage1_260517_084417/preds_chip.parquet
v7,1,ensemble_3stud_vote_majority,I10,0.9936,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v7_5mode.json
v7,1,ensemble_3stud_vote_unanimous,I10,0.9495,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v7_5mode.json
v7,1,ensemble_3stud_vote_intersection_bits,I10,0.9735,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v7_5mode.json
v7,1,ensemble_3stud_vote_union_bits,I10,0.9965,0.40,1.88,0.76,1+77+1KD,0.30,outputs/_ensemble_v7_5mode.json
v7,1,ensemble_3stud_vote_majority_bits,I10,0.9941,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v7_5mode.json
v8,1,ensemble_3stud_v8_vote_majority,I10,0.9936,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I10.json
v8,1,ensemble_3stud_v8_vote_unanimous,I10,0.9495,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I10.json
v8,1,ensemble_3stud_v8_vote_intersection_bits,I10,0.9735,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I10.json
v8,1,ensemble_3stud_v8_vote_union_bits,I10,0.9965,0.40,1.88,0.76,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I10.json
v8,1,ensemble_3stud_v8_vote_majority_bits,I10,0.9941,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I10.json
v8,1,ensemble_3stud_v8_vote_majority,I13,0.9595,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I13.json
v8,1,ensemble_3stud_v8_vote_unanimous,I13,0.7973,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I13.json
v8,1,ensemble_3stud_v8_vote_intersection_bits,I13,0.8240,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I13.json
v8,1,ensemble_3stud_v8_vote_union_bits,I13,0.9923,0.05,1.88,0.49,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I13.json
v8,1,ensemble_3stud_v8_vote_majority_bits,I13,0.9600,0.00,0.00,0.00,1+77+1KD,0.30,outputs/_ensemble_v8_g_s77_kdv7_I13.json
v9,1,KD_v8_a05_T2_skipcm,I3,0.9274,100.00,100.00,100.00,1,0.30,outputs/KD_v8_a05_T2_skipcm/20260517_121833_T7_KD_v8_a05_T2_skipcm/eval_n2000_pred/stage1_260517_150413/preds_chip.parquet
v9,1,KD_v8_a05_T2_skipcm,I7,0.9227,100.00,100.00,100.00,1,0.30,outputs/KD_v8_a05_T2_skipcm/20260517_121833_T7_KD_v8_a05_T2_skipcm/eval_n2000_pred/stage1_260517_150413/preds_chip.parquet
v9,1,KD_v8_a05_T2_skipcm,I10,0.8924,32.15,79.46,57.15,1,0.30,outputs/KD_v8_a05_T2_skipcm/20260517_121833_T7_KD_v8_a05_T2_skipcm/eval_n2000_pred/stage1_260517_150413/preds_chip.parquet
v9,1,KD_v8_a05_T2_skipcm,I13,0.8365,31.45,71.12,52.41,1,0.30,outputs/KD_v8_a05_T2_skipcm/20260517_121833_T7_KD_v8_a05_T2_skipcm/eval_n2000_pred/stage1_260517_150413/preds_chip.parquet
v10,1,soup_v1_3way_uniform_mean,I3,0.9274,100.00,100.00,100.00,1+77+1KD,0.30,outputs/soup_v1_3way/eval_n2000_pred/stage1_260517_201557/preds_chip.parquet
v10,1,soup_v1_3way_uniform_mean,I7,0.9263,100.00,100.00,100.00,1+77+1KD,0.30,outputs/soup_v1_3way/eval_n2000_pred/stage1_260517_201557/preds_chip.parquet
v10,1,soup_v1_3way_uniform_mean,I10,0.9748,0.00,0.00,0.00,1+77+1KD,0.30,outputs/soup_v1_3way/eval_n2000_pred/stage1_260517_201557/preds_chip.parquet
v10,1,soup_v1_3way_uniform_mean,I13,0.9564,0.00,0.00,0.00,1+77+1KD,0.30,outputs/soup_v1_3way/eval_n2000_pred/stage1_260517_201557/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I3,0.9143,100.00,100.00,100.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I7,0.9065,100.00,100.00,100.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I10,0.9192,0.00,0.00,0.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I13,0.8574,0.00,0.00,0.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,2,KD_v12_a030_T3_skipcm_v15,I3,0.9362,100.00,100.00,100.00,1,0.30,outputs/KD_v12_a030_T3_skipcm_v15/20260518_044903_T7_KD_v12_a030_T3_skipcm/eval_n2000_pred/stage1_260518_045541/preds_chip.parquet
v15,2,KD_v12_a030_T3_skipcm_v15,I7,0.9341,100.00,100.00,100.00,1,0.30,outputs/KD_v12_a030_T3_skipcm_v15/20260518_044903_T7_KD_v12_a030_T3_skipcm/eval_n2000_pred/stage1_260518_045541/preds_chip.parquet
