backbone,timm_name,params_M,img_size,batch_size,ms_per_batch,ms_per_chip,chips_per_sec,scaling_vs_b1,bit_F1_v15direct_n200,total_FAR_pct,ni_FAR_pct,ood_FAR_pct,recipe,source
ConvNeXtV2-Base,convnextv2_base.fcmae_ft_in22k_in1k_384,87.7,384,1,26.92,26.92,37,1.00,0.9654,1.07,0.00,1.07,iter46E_g3LS050_complement_pairMasked_LS020,outputs/iter46E_g3LS050_rect03/T7_*/best_model.pth
ConvNeXtV2-Base,convnextv2_base.fcmae_ft_in22k_in1k_384,87.7,384,4,131.31,32.83,30,0.82,0.9654,1.07,0.00,1.07,iter46E_g3LS050_complement_pairMasked_LS020,outputs/iter46E_g3LS050_rect03/T7_*/best_model.pth
ConvNeXtV2-Base,convnextv2_base.fcmae_ft_in22k_in1k_384,87.7,384,8,281.62,35.20,28,0.76,0.9654,1.07,0.00,1.07,iter46E_g3LS050_complement_pairMasked_LS020,outputs/iter46E_g3LS050_rect03/T7_*/best_model.pth
ConvNeXtV2-Base,convnextv2_base.fcmae_ft_in22k_in1k_384,87.7,384,16,,,,,0.9654,1.07,0.00,1.07,iter46E_g3LS050_complement_pairMasked_LS020,outputs/iter46E_g3LS050_rect03/T7_*/best_model.pth
ConvNeXtV2-Base,convnextv2_base.fcmae_ft_in22k_in1k_384,87.7,384,32,926.45,28.95,35,0.93,0.9654,1.07,0.00,1.07,iter46E_g3LS050_complement_pairMasked_LS020,outputs/iter46E_g3LS050_rect03/T7_*/best_model.pth
ConvNeXtV2-Base,convnextv2_base.fcmae_ft_in22k_in1k_384,87.7,384,64,2443.50,38.18,26,0.70,0.9654,1.07,0.00,1.07,iter46E_g3LS050_complement_pairMasked_LS020,outputs/iter46E_g3LS050_rect03/T7_*/best_model.pth
ConvNeXt-Base-V1,convnext_base.fb_in22k_ft_in1k,87.6,224,1,24.86,24.86,40,1.00,0.9830,2.62,0.00,2.62,iter77A_baseline,outputs/iter77A_convnext_base/T7_*/best_model.pth
ConvNeXt-Base-V1,convnext_base.fb_in22k_ft_in1k,87.6,224,4,66.97,16.74,60,1.49,0.9830,2.62,0.00,2.62,iter77A_baseline,outputs/iter77A_convnext_base/T7_*/best_model.pth
ConvNeXt-Base-V1,convnext_base.fb_in22k_ft_in1k,87.6,224,8,124.80,15.60,64,1.59,0.9830,2.62,0.00,2.62,iter77A_baseline,outputs/iter77A_convnext_base/T7_*/best_model.pth
ConvNeXt-Base-V1,convnext_base.fb_in22k_ft_in1k,87.6,224,16,228.50,14.28,70,1.74,0.9830,2.62,0.00,2.62,iter77A_baseline,outputs/iter77A_convnext_base/T7_*/best_model.pth
ConvNeXt-Base-V1,convnext_base.fb_in22k_ft_in1k,87.6,224,32,429.76,13.43,74,1.85,0.9830,2.62,0.00,2.62,iter77A_baseline,outputs/iter77A_convnext_base/T7_*/best_model.pth
ConvNeXt-Base-V1,convnext_base.fb_in22k_ft_in1k,87.6,224,64,845.44,13.21,76,1.88,0.9830,2.62,0.00,2.62,iter77A_baseline,outputs/iter77A_convnext_base/T7_*/best_model.pth
Swin-Base-384,swin_base_patch4_window12_384,86.9,384,1,21.08,21.08,47,1.00,0.9692,0.00,0.00,0.00,iter77C_baseline,outputs/iter77C_swin_base/T7_*/best_model.pth
Swin-Base-384,swin_base_patch4_window12_384,86.9,384,4,74.36,18.59,54,1.13,0.9692,0.00,0.00,0.00,iter77C_baseline,outputs/iter77C_swin_base/T7_*/best_model.pth
Swin-Base-384,swin_base_patch4_window12_384,86.9,384,8,150.80,18.85,53,1.12,0.9692,0.00,0.00,0.00,iter77C_baseline,outputs/iter77C_swin_base/T7_*/best_model.pth
Swin-Base-384,swin_base_patch4_window12_384,86.9,384,16,320.00,20.00,50,1.05,0.9692,0.00,0.00,0.00,iter77C_baseline,outputs/iter77C_swin_base/T7_*/best_model.pth
Swin-Base-384,swin_base_patch4_window12_384,86.9,384,32,665.92,20.81,48,1.01,0.9692,0.00,0.00,0.00,iter77C_baseline,outputs/iter77C_swin_base/T7_*/best_model.pth
Swin-Base-384,swin_base_patch4_window12_384,86.9,384,64,1361.28,21.27,47,0.99,0.9692,0.00,0.00,0.00,iter77C_baseline,outputs/iter77C_swin_base/T7_*/best_model.pth
EfficientV2-M,tf_efficientnetv2_m,52.9,384,1,23.84,23.84,42,1.00,FAIL,,,,iter77E_baseline,outputs/iter77E_efficientv2_m/T7_*/best_model.pth
EfficientV2-M,tf_efficientnetv2_m,52.9,384,4,25.28,6.32,158,3.77,FAIL,,,,iter77E_baseline,outputs/iter77E_efficientv2_m/T7_*/best_model.pth
EfficientV2-M,tf_efficientnetv2_m,52.9,384,8,50.64,6.33,158,3.77,FAIL,,,,iter77E_baseline,outputs/iter77E_efficientv2_m/T7_*/best_model.pth
EfficientV2-M,tf_efficientnetv2_m,52.9,384,16,110.24,6.89,145,3.46,FAIL,,,,iter77E_baseline,outputs/iter77E_efficientv2_m/T7_*/best_model.pth
EfficientV2-M,tf_efficientnetv2_m,52.9,384,32,246.40,7.70,130,3.10,FAIL,,,,iter77E_baseline,outputs/iter77E_efficientv2_m/T7_*/best_model.pth
EfficientV2-M,tf_efficientnetv2_m,52.9,384,64,565.76,8.84,113,2.70,FAIL,,,,iter77E_baseline,outputs/iter77E_efficientv2_m/T7_*/best_model.pth
