row,recipe,source,best_variant,user_bit_F1,pos9_bit_F1,single_macro_4,combo_macro_5,bit_F1_4defect,ni_far_pct,ood_far_pct,total_far_pct,source_parquet
1,BCE+LabelSmoothing,chain_v5_ladder1_baseline_T7_LS030_no_cutmix,T0__I13,0.1093,0.1214,0.1896,0.0668,0.5174,99.65,98.9062,99.4697,outputs/ladder1_baseline/20260514_181742_T7_ladder1_baseline/eval_n2000_pred/stage1_260514_183326/preds_chip.parquet
2,SigmoidFocalLoss,chain_v5_ladder2_T9_Focal,T0__I10,0.7980,0.7794,0.8724,0.7050,0.8996,35.55,77.5000,45.7197,outputs/ladder2_focal/20260514_184629_T9_ladder2_focal/eval_n2000_pred/stage1_260514_191925/preds_chip.parquet
2,SigmoidFocalLoss_FAR_corner,chain_v5_ladder2_T9_Focal,T0__I13,-,0.7709,0.8745,0.6879,0.8981,0.00,0.3125,0.0758,outputs/ladder2_focal/20260514_184629_T9_ladder2_focal/eval_n2000_pred/stage1_260514_191925/preds_chip.parquet
3,AsymmetricLoss_ASL,chain_v5_ladder3_T4_ASL,T0__I3,0.6435,0.6457,0.5379,0.7320,0.8582,100.00,100.0000,100.0000,outputs/ladder3_asl/20260514_230402_T4_ladder3_asl/eval_n2000_pred/stage1_260514_231251/preds_chip.parquet
4,CutMix_random_rectangle,chain_v5_ladder4_T7_cutmix_only_p050,T0__I10,0.9359,0.9290,0.9566,0.9070,0.9410,37.00,57.8125,42.0455,outputs/ladder4_cutmix_only/20260514_231942_T7_ladder4_cutmix_only/eval_n2000_pred/stage1_260514_232810/preds_chip.parquet
5,CutMix_plus_PairMask,chain_v5_ladder5_T7_cutmix_pair_g4n2,T0__I3,0.9256,0.9174,0.8538,0.9682,0.9478,100.00,100.0000,100.0000,outputs/ladder5_cutmix_pair/20260514_233450_T7_ladder5_cutmix_pair/eval_n2000_pred/stage1_260514_234342/preds_chip.parquet
6,FCM-PM_val_f1_selection,iter116J_f1sel_T7_g3_LS030_val_f1,T0__I10,0.9652,0.6749,0.6770,0.6732,0.8848,0.00,0.0000,0.0000,outputs/iter116J_g3_ls30_f1sel/T7_iter116J_f1sel_260513_055839/eval_n2000_pred/stage1_260514_181155/preds_chip.parquet
7,FCM-PM_val_margin_selection,iter116J_T7_g3_LS030_val_margin_CHAMPION,T0__I10,0.9943,0.9748,0.9737,0.9756,0.9918,0.00,0.0000,0.0000,outputs/iter116J_g3_ls30/T7_iter116J_g3_ls30_260513_010015/eval_n2000_pred/stage1_260514_161529/preds_chip.parquet
8,4bag_Majority_Voting_Ensemble,4bag_fbag1234_per_bit_thr2of4_n2000,T0__I10,0.9615,0.9367,0.9535,0.9232,0.9647,0.05,0.3125,0.1136,outputs/fbag1..fbag4/eval_n2000_pred/preds_chip.parquet (vote_majority_bits thr=2/4)
9,KD_single_student,KD_v7_iter116J_a03_T2_skipcutmix,T0__I10,0.9265,0.9265,0.9363,0.9187,0.9785,0.00,0.0000,0.0000,outputs/KD_v7_iter116J_a03_T2_skipcutmix/20260517_095713_T7_KD_v7_iter116J_a03_T2_skipcutmix/eval_n2000_pred/stage1_260517_101336/preds_chip.parquet
9,KD_single_student_v15_a025_T2,KD_v11_a025_T2_skipcm_v15,T0__I10,0.9192,-,-,-,0.9192,0.00,0.0000,0.0000,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
