dataset,arm,K,backbone,seed,n_train,eval_map,eval_bit_f1,eval_far,eval_pos_prob,eval_neg_prob,train_map,train_pos_prob,train_neg_prob
landcover,synth_plus_k,0,resnet18,0,2587,0.8398,0.7395,0.1985,0.6689,0.22,1.0,0.9993,0.0012
landcover,real_only_k,0,resnet18,0,587,0.7449,0.3639,0.0954,0.281,0.101,0.9976,0.92,0.0269
landcover,synth_plus_k,5,resnet18,0,2592,0.8412,0.7179,0.1856,0.6348,0.2032,1.0,0.9992,0.0008
landcover,real_only_k,5,resnet18,0,592,0.7497,0.5332,0.1972,0.4467,0.2217,1.0,0.9902,0.0061
landcover,synth_plus_k,10,resnet18,0,2597,0.8516,0.7425,0.1765,0.6665,0.2055,1.0,0.9992,0.001
landcover,real_only_k,10,resnet18,0,597,0.8142,0.7293,0.3119,0.708,0.3493,1.0,0.9985,0.0026
landcover,synth_plus_k,25,resnet18,0,2612,0.8583,0.7574,0.2062,0.6891,0.2246,1.0,0.9991,0.001
landcover,real_only_k,25,resnet18,0,612,0.818,0.7519,0.3505,0.7523,0.3817,1.0,0.985,0.0083
landcover,synth_plus_k,50,resnet18,0,2637,0.853,0.7547,0.2358,0.7058,0.2538,0.9999,0.9967,0.0042
landcover,real_only_k,50,resnet18,0,637,0.85,0.8093,0.3454,0.8435,0.3708,1.0,0.998,0.0025
landcover,synth_plus_k,100,resnet18,0,2687,0.8876,0.7985,0.1856,0.7506,0.2031,1.0,0.9993,0.0009
landcover,real_only_k,100,resnet18,0,687,0.8974,0.8458,0.2912,0.8689,0.3287,1.0,0.9982,0.0022
landcover,synth_plus_k,250,resnet18,0,2837,0.9017,0.8399,0.2281,0.8282,0.2502,1.0,0.9991,0.0016
landcover,real_only_k,250,resnet18,0,837,0.8822,0.8316,0.3441,0.8607,0.3554,1.0,0.9903,0.01
landcover,synth_plus_k,500,resnet18,0,3087,0.918,0.8243,0.1701,0.783,0.1874,0.9997,0.9753,0.0113
landcover,real_only_k,500,resnet18,0,1087,0.9265,0.8593,0.2152,0.8608,0.2318,1.0,0.9982,0.0018
landcover,synth_plus_k,1000,resnet18,0,3587,0.9257,0.854,0.2126,0.8592,0.2337,0.9998,0.9932,0.0101
landcover,real_only_k,1000,resnet18,0,1587,0.9361,0.8755,0.1791,0.8701,0.1926,1.0,0.9984,0.0014
landcover,synth_plus_k,0,resnet18,1,2587,0.8311,0.7256,0.201,0.6614,0.222,1.0,0.9992,0.0011
landcover,real_only_k,0,resnet18,1,587,0.7595,0.4025,0.0709,0.2967,0.0777,0.9999,0.9874,0.0067
landcover,synth_plus_k,5,resnet18,1,2592,0.8293,0.7375,0.1972,0.6654,0.2243,1.0,0.9992,0.0011
landcover,real_only_k,5,resnet18,1,592,0.7864,0.5418,0.1559,0.4523,0.2018,1.0,0.9964,0.0038
landcover,synth_plus_k,10,resnet18,1,2597,0.8384,0.7394,0.1843,0.653,0.2083,1.0,0.9992,0.0009
landcover,real_only_k,10,resnet18,1,597,0.7935,0.7334,0.4278,0.7279,0.4517,1.0,0.998,0.0028
landcover,synth_plus_k,25,resnet18,1,2612,0.8529,0.7306,0.183,0.6616,0.2074,1.0,0.9991,0.0013
landcover,real_only_k,25,resnet18,1,612,0.8167,0.7561,0.4265,0.7558,0.4362,1.0,0.9981,0.0024
landcover,synth_plus_k,50,resnet18,1,2637,0.8372,0.6916,0.2706,0.6377,0.2853,0.9992,0.9435,0.0286
landcover,real_only_k,50,resnet18,1,637,0.8089,0.7529,0.4098,0.7591,0.426,1.0,0.9807,0.008
landcover,synth_plus_k,100,resnet18,1,2687,0.8586,0.7823,0.2152,0.7479,0.2386,1.0,0.9993,0.0009
landcover,real_only_k,100,resnet18,1,687,0.8638,0.8083,0.3647,0.8416,0.3837,1.0,0.9976,0.0022
landcover,synth_plus_k,250,resnet18,1,2837,0.8914,0.8123,0.2513,0.8024,0.2732,1.0,0.9986,0.002
landcover,real_only_k,250,resnet18,1,837,0.886,0.8189,0.2951,0.8278,0.3094,0.9993,0.9736,0.016
landcover,synth_plus_k,500,resnet18,1,3087,0.9098,0.8384,0.2461,0.8384,0.2617,0.9986,0.9816,0.0508
landcover,real_only_k,500,resnet18,1,1087,0.9325,0.8606,0.2526,0.8827,0.2694,1.0,0.9984,0.0017
landcover,synth_plus_k,1000,resnet18,1,3587,0.9294,0.8614,0.1946,0.8631,0.214,0.9999,0.9926,0.0089
landcover,real_only_k,1000,resnet18,1,1587,0.9442,0.8831,0.1933,0.8918,0.2132,1.0,0.999,0.0015
landcover,synth_plus_k,0,resnet18,2,2587,0.8252,0.7188,0.2191,0.6733,0.2419,1.0,0.9942,0.0089
landcover,real_only_k,0,resnet18,2,587,0.7479,0.371,0.0696,0.2902,0.0818,0.9996,0.9573,0.0121
landcover,synth_plus_k,5,resnet18,2,2592,0.8224,0.7291,0.1765,0.6575,0.1992,1.0,0.9991,0.0011
landcover,real_only_k,5,resnet18,2,592,0.7777,0.5017,0.1031,0.4642,0.1372,0.9895,0.927,0.0229
landcover,synth_plus_k,10,resnet18,2,2597,0.8299,0.7297,0.1894,0.6616,0.2047,0.9998,0.9985,0.0016
landcover,real_only_k,10,resnet18,2,597,0.7967,0.5571,0.1997,0.5765,0.2065,0.9992,0.9275,0.0351
landcover,synth_plus_k,25,resnet18,2,2612,0.8561,0.7503,0.1856,0.6856,0.2073,1.0,0.9992,0.0009
landcover,real_only_k,25,resnet18,2,612,0.8234,0.7413,0.4008,0.7824,0.4112,1.0,0.9983,0.0022
landcover,synth_plus_k,50,resnet18,2,2637,0.8328,0.737,0.2397,0.6895,0.2572,0.9995,0.9803,0.0186
landcover,real_only_k,50,resnet18,2,637,0.8611,0.7864,0.3544,0.8274,0.3824,1.0,0.9977,0.0024
landcover,synth_plus_k,100,resnet18,2,2687,0.8723,0.7814,0.2036,0.7294,0.2258,1.0,0.9992,0.0009
landcover,real_only_k,100,resnet18,2,687,0.8867,0.7939,0.2719,0.7974,0.297,1.0,0.9971,0.0023
landcover,synth_plus_k,250,resnet18,2,2837,0.9045,0.8193,0.1791,0.7902,0.1972,1.0,0.9977,0.0013
landcover,real_only_k,250,resnet18,2,837,0.8951,0.8074,0.2938,0.8049,0.3024,0.9999,0.9719,0.0109
landcover,synth_plus_k,500,resnet18,2,3087,0.8883,0.8288,0.3054,0.8524,0.3185,0.9968,0.9708,0.0741
landcover,real_only_k,500,resnet18,2,1087,0.9295,0.8644,0.2139,0.8687,0.2371,1.0,0.9985,0.0016
