dataset,arm,U,backbone,seed,n_labeled,n_unlabeled,transfer_method,lam_content,eval_map,eval_bit_f1,eval_far,eval_pos_prob,eval_neg_prob
landcover,base,0,resnet18,0,2587,0,none,0.0,0.8433,0.7379,0.201,0.6781,0.221
landcover,gen_refine,250,resnet18,0,2587,250,unet_patchgan_lsgan,22.0,0.8304,0.6572,0.1469,0.5823,0.1645
landcover,pyramid_adain,250,resnet18,0,2587,250,laplacian_pyr_l3_meanstd,0.0,0.8019,0.7046,0.2603,0.6554,0.2763
landcover,gen_refine,500,resnet18,0,2587,500,unet_patchgan_lsgan,22.0,0.8311,0.6917,0.1817,0.6431,0.1967
landcover,pyramid_adain,500,resnet18,0,2587,500,laplacian_pyr_l3_meanstd,0.0,0.8205,0.7306,0.2474,0.6696,0.262
landcover,gen_refine,1000,resnet18,0,2587,1000,unet_patchgan_lsgan,22.0,0.8153,0.6308,0.1765,0.5942,0.199
landcover,pyramid_adain,1000,resnet18,0,2587,1000,laplacian_pyr_l3_meanstd,0.0,0.8138,0.7214,0.2603,0.6645,0.287
landcover,base,0,resnet18,1,2587,0,none,0.0,0.8331,0.731,0.2101,0.6629,0.2242
landcover,gen_refine,250,resnet18,1,2587,250,unet_patchgan_lsgan,22.0,0.8146,0.62,0.1572,0.5621,0.1704
landcover,pyramid_adain,250,resnet18,1,2587,250,laplacian_pyr_l3_meanstd,0.0,0.8134,0.7127,0.2345,0.6481,0.2591
landcover,gen_refine,500,resnet18,1,2587,500,unet_patchgan_lsgan,22.0,0.8155,0.6626,0.1637,0.606,0.1734
landcover,pyramid_adain,500,resnet18,1,2587,500,laplacian_pyr_l3_meanstd,0.0,0.8162,0.7317,0.2358,0.6742,0.2576
landcover,gen_refine,1000,resnet18,1,2587,1000,unet_patchgan_lsgan,22.0,0.819,0.6834,0.1662,0.6221,0.1865
landcover,pyramid_adain,1000,resnet18,1,2587,1000,laplacian_pyr_l3_meanstd,0.0,0.8112,0.7114,0.2474,0.6496,0.2608
landcover,base,0,resnet18,2,2587,0,none,0.0,0.8193,0.7074,0.1753,0.6288,0.1926
landcover,gen_refine,250,resnet18,2,2587,250,unet_patchgan_lsgan,22.0,0.8399,0.6943,0.1843,0.648,0.2079
landcover,pyramid_adain,250,resnet18,2,2587,250,laplacian_pyr_l3_meanstd,0.0,0.8016,0.7228,0.3247,0.687,0.3384
landcover,gen_refine,500,resnet18,2,2587,500,unet_patchgan_lsgan,22.0,0.8342,0.6681,0.1881,0.6049,0.2074
landcover,pyramid_adain,500,resnet18,2,2587,500,laplacian_pyr_l3_meanstd,0.0,0.8248,0.7252,0.232,0.6764,0.2536
landcover,gen_refine,1000,resnet18,2,2587,1000,unet_patchgan_lsgan,22.0,0.8171,0.6726,0.1907,0.6371,0.2045
landcover,pyramid_adain,1000,resnet18,2,2587,1000,laplacian_pyr_l3_meanstd,0.0,0.7954,0.6992,0.268,0.642,0.2871
