arm,seed,scope,n_eval,raw_bitF1,mAP,normal_FAR,F1@FAR1,F1@FAR5,F1@FAR10
single_only,0,all,400,0.3825,0.7522,0.0,0.4529,0.4529,0.4529
single_only,0,pos2,135,0.4891,0.6874,0.0,0.5612,0.5612,0.5612
single_only,1,all,400,0.3906,0.7488,0.0,0.4228,0.4228,0.4228
single_only,1,pos2,135,0.5043,0.6446,0.0,0.5154,0.5154,0.5154
single_only,2,all,400,0.3779,0.7812,0.0,0.4259,0.4273,0.4273
single_only,2,pos2,135,0.4767,0.6905,0.0,0.5358,0.5358,0.5358
single_only,3,all,400,0.3891,0.7705,0.0,0.4362,0.4362,0.4362
single_only,3,pos2,135,0.4782,0.6588,0.0,0.5197,0.5197,0.5197
single_only,4,all,400,0.4046,0.7977,0.0,0.4609,0.4609,0.4609
single_only,4,pos2,135,0.4572,0.6978,0.0,0.5149,0.5149,0.5149
partition,0,all,400,0.5832,0.7963,0.0,0.6951,0.6951,0.6951
partition,0,pos2,135,0.6772,0.7409,0.0,0.7057,0.7057,0.7057
partition,1,all,400,0.5766,0.7778,0.0,0.6586,0.6586,0.6586
partition,1,pos2,135,0.6253,0.7055,0.0,0.6692,0.6692,0.6692
partition,2,all,400,0.573,0.7938,0.0,0.7018,0.7018,0.7018
partition,2,pos2,135,0.6742,0.7266,0.0,0.7232,0.7232,0.7232
partition,3,all,400,0.6225,0.8025,0.0,0.7311,0.7311,0.7311
partition,3,pos2,135,0.6719,0.7385,0.0,0.6816,0.6816,0.6816
partition,4,all,400,0.5747,0.8022,0.0,0.6858,0.6858,0.6858
partition,4,pos2,135,0.6569,0.7378,0.0,0.6973,0.6973,0.6973
cutmix,0,all,400,0.5742,0.7799,0.0,0.5752,0.5752,0.5752
cutmix,0,pos2,135,0.6555,0.721,0.0,0.65,0.65,0.65
cutmix,1,all,400,0.5414,0.7871,1.0,0.5306,0.5306,0.5306
cutmix,1,pos2,135,0.6214,0.7452,1.0,0.6033,0.6033,0.6033
cutmix,2,all,400,0.5502,0.7939,0.0,0.553,0.553,0.553
cutmix,2,pos2,135,0.6392,0.7334,0.0,0.6411,0.6411,0.6411
cutmix,3,all,400,0.5311,0.7854,1.0,0.5008,0.5008,0.5008
cutmix,3,pos2,135,0.6004,0.692,1.0,0.5891,0.5891,0.5891
cutmix,4,all,400,0.5499,0.7917,0.0,0.5631,0.5631,0.5631
cutmix,4,pos2,135,0.6843,0.7435,0.0,0.6887,0.6887,0.6887
mixup,0,all,400,0.4143,0.7832,1.0,0.3908,0.3908,0.3908
mixup,0,pos2,135,0.5061,0.6793,1.0,0.4868,0.4868,0.4868
mixup,1,all,400,0.4627,0.7808,1.0,0.4598,0.4598,0.4598
mixup,1,pos2,135,0.5753,0.6975,1.0,0.5672,0.5672,0.5672
mixup,2,all,400,0.4977,0.8024,1.0,0.4718,0.4718,0.4718
mixup,2,pos2,135,0.5578,0.7275,1.0,0.5338,0.5338,0.5338
mixup,3,all,400,0.4883,0.7835,1.0,0.4848,0.4848,0.4848
mixup,3,pos2,135,0.6008,0.7191,1.0,0.5972,0.5972,0.5972
mixup,4,all,400,0.4661,0.7534,0.0,0.4724,0.4724,0.4724
mixup,4,pos2,135,0.5641,0.6692,0.0,0.5817,0.5817,0.5817
overlay,0,all,400,0.4603,0.7666,1.0,0.4544,0.4544,0.4544
overlay,0,pos2,135,0.5244,0.6716,1.0,0.5228,0.5228,0.5228
overlay,1,all,400,0.4163,0.7744,1.0,0.3982,0.3982,0.3982
overlay,1,pos2,135,0.5049,0.6856,1.0,0.5009,0.5009,0.5009
overlay,2,all,400,0.4677,0.7965,1.0,0.4615,0.4615,0.4615
overlay,2,pos2,135,0.4866,0.7194,1.0,0.4852,0.4852,0.4852
overlay,3,all,400,0.479,0.7515,1.0,0.4518,0.4518,0.4518
overlay,3,pos2,135,0.519,0.6697,1.0,0.5081,0.5081,0.5081
overlay,4,all,400,0.4585,0.7593,1.0,0.454,0.454,0.454
overlay,4,pos2,135,0.4732,0.621,1.0,0.4756,0.4756,0.4756
oracle,0,all,400,0.8736,0.9379,0.0,0.8751,0.8751,0.8751
oracle,0,pos2,135,0.8461,0.9149,0.0,0.8135,0.8135,0.8135
oracle,1,all,400,0.8711,0.9372,0.0,0.8703,0.8703,0.8703
oracle,1,pos2,135,0.8344,0.9142,0.0,0.7873,0.7873,0.7873
oracle,2,all,400,0.8685,0.9441,0.0,0.8684,0.8684,0.8684
oracle,2,pos2,135,0.8407,0.9304,0.0,0.7907,0.7907,0.7907
oracle,3,all,400,0.8726,0.9394,0.0,0.874,0.874,0.874
oracle,3,pos2,135,0.8613,0.9199,0.0,0.8226,0.8226,0.8226
oracle,4,all,400,0.8674,0.9381,0.0,0.8676,0.8676,0.8676
oracle,4,pos2,135,0.8453,0.9218,0.0,0.7852,0.7852,0.7852
