arm,seed,scope,n_eval,raw_bitF1,mAP,normal_FAR,F1@FAR1,F1@FAR5,F1@FAR10
single_only,0,all,400,0.433,0.7948,0.0,0.508,0.508,0.508
single_only,0,pos2,135,0.5339,0.7242,0.0,0.5716,0.5716,0.5716
single_only,1,all,400,0.3818,0.7247,0.0,0.4442,0.4442,0.4442
single_only,1,pos2,135,0.4824,0.6608,0.0,0.5595,0.5595,0.5595
single_only,2,all,400,0.3743,0.7801,0.0,0.4521,0.4521,0.4521
single_only,2,pos2,135,0.4973,0.697,0.0,0.5808,0.5808,0.5808
partition,0,all,400,0.59,0.8122,0.0,0.7325,0.7325,0.7325
partition,0,pos2,135,0.6622,0.7869,0.0,0.6338,0.6338,0.6338
partition,1,all,400,0.5872,0.7966,0.0,0.6971,0.6971,0.6971
partition,1,pos2,135,0.68,0.7678,0.0,0.7059,0.7059,0.7059
partition,2,all,400,0.5875,0.7921,0.0,0.697,0.6979,0.6979
partition,2,pos2,135,0.6716,0.7327,0.0,0.7096,0.7096,0.7096
cutmix,0,all,400,0.5407,0.7896,0.0,0.5432,0.5432,0.5432
cutmix,0,pos2,135,0.6148,0.7046,0.0,0.6166,0.6166,0.6166
cutmix,1,all,400,0.5684,0.787,1.0,0.5424,0.5424,0.5424
cutmix,1,pos2,135,0.6454,0.7566,1.0,0.6352,0.6352,0.6352
cutmix,2,all,400,0.519,0.7954,1.0,0.5143,0.5143,0.5143
cutmix,2,pos2,135,0.6001,0.7261,1.0,0.5979,0.5979,0.5979
mixup,0,all,400,0.5178,0.7971,1.0,0.5009,0.5009,0.5009
mixup,0,pos2,135,0.6301,0.7445,1.0,0.6164,0.6164,0.6164
mixup,1,all,400,0.5072,0.7947,1.0,0.4395,0.4395,0.4395
mixup,1,pos2,135,0.5175,0.6902,1.0,0.4943,0.4943,0.4943
mixup,2,all,400,0.4936,0.7831,1.0,0.4561,0.4561,0.4561
mixup,2,pos2,135,0.6206,0.723,1.0,0.5893,0.5893,0.5893
overlay,0,all,400,0.4447,0.775,1.0,0.4374,0.4374,0.4374
overlay,0,pos2,135,0.5104,0.6784,1.0,0.5095,0.5095,0.5095
overlay,1,all,400,0.4684,0.7656,1.0,0.463,0.463,0.463
overlay,1,pos2,135,0.4974,0.6686,1.0,0.5034,0.5034,0.5034
overlay,2,all,400,0.414,0.7766,1.0,0.396,0.396,0.396
overlay,2,pos2,135,0.4914,0.6617,1.0,0.4667,0.4667,0.4667
oracle,0,all,400,0.8763,0.9372,0.0,0.873,0.873,0.873
oracle,0,pos2,135,0.8512,0.9071,0.0,0.7917,0.7917,0.7917
oracle,1,all,400,0.8738,0.9378,0.0,0.867,0.867,0.867
oracle,1,pos2,135,0.8351,0.9141,0.0,0.7918,0.7918,0.7918
oracle,2,all,400,0.8713,0.9425,0.0,0.8735,0.8735,0.8735
oracle,2,pos2,135,0.837,0.9214,0.0,0.8017,0.8017,0.8017
