arm,target_alpha,synthetic_cal_realized_FAR,synthetic_cal_gap_pp,real_split_cal_realized_FAR,real_split_cal_gap_pp
average_mixup_shin22,0.01,0.9992,98.9,0.0111,0.1
cutmix,0.01,0.9768,96.7,0.0091,-0.1
fcm,0.01,0.9596,95.0,0.0101,0.0
fcm_pm,0.01,0.9842,97.4,0.01,-0.0
mixup,0.01,1.0,99.0,0.0089,-0.1
mixup_shin22,0.01,0.9868,97.7,0.0098,-0.0
single_only,0.01,0.9096,90.0,0.0097,-0.0
summation_mixup_shin22,0.01,0.8612,85.1,0.0105,0.0
union_mixup,0.01,0.9524,94.2,0.0102,0.0
average_mixup_shin22,0.05,0.9998,95.0,0.0496,-0.0
cutmix,0.05,0.9914,94.1,0.0498,-0.0
fcm,0.05,0.978,92.8,0.0498,-0.0
fcm_pm,0.05,0.9872,93.7,0.0498,-0.0
mixup,0.05,1.0,95.0,0.0488,-0.1
mixup_shin22,0.05,0.9954,94.5,0.05,-0.0
single_only,0.05,0.9258,87.6,0.0487,-0.1
summation_mixup_shin22,0.05,0.9162,86.6,0.0478,-0.2
union_mixup,0.05,0.9616,91.2,0.0497,-0.0
