dataset,regime,arm,matched,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob
mnist,partition,overlay,partition,0,0.6589,0.8982,0.0052,1.0,0.5487,0.0076
mnist,partition,overlay,partition,1,0.6961,0.9113,0.0063,1.0,0.5711,0.0093
mnist,partition,overlay,partition,2,0.6155,0.8915,0.0032,0.0,0.4712,0.0067
mnist,partition,partition,partition,0,0.8813,0.964,0.02,0.0,0.8513,0.0324
mnist,partition,partition,partition,1,0.9135,0.9735,0.0173,0.0,0.8867,0.0248
mnist,partition,partition,partition,2,0.9095,0.9714,0.0131,0.0,0.8634,0.0221
mnist,partition,cutmix,partition,0,0.8632,0.9434,0.0232,0.0,0.8035,0.0531
mnist,partition,cutmix,partition,1,0.8675,0.9451,0.021,0.0,0.797,0.0539
mnist,partition,cutmix,partition,2,0.8674,0.9429,0.0146,0.0,0.7781,0.0518
mnist,partition,mixup,partition,0,0.6831,0.9595,0.0096,1.0,0.5913,0.0109
mnist,partition,mixup,partition,1,0.5682,0.9577,0.0361,1.0,0.5117,0.0371
mnist,partition,mixup,partition,2,0.5912,0.9532,0.0106,1.0,0.5056,0.0122
mnist,partition,single_only,partition,0,0.4449,0.8113,0.0053,1.0,0.3197,0.0078
mnist,partition,single_only,partition,1,0.4656,0.801,0.0074,0.0,0.346,0.0107
mnist,partition,single_only,partition,2,0.4571,0.7817,0.0091,1.0,0.3324,0.013
mnist,partition,oracle,partition,0,0.8855,0.9632,0.0208,0.0,0.8549,0.0335
mnist,partition,oracle,partition,1,0.9223,0.9751,0.0154,0.0,0.8939,0.0237
mnist,partition,oracle,partition,2,0.9139,0.9715,0.0149,0.0,0.8734,0.024
mnist,superposition,overlay,overlay,0,0.7656,0.859,0.0314,1.0,0.6926,0.0598
mnist,superposition,overlay,overlay,1,0.7697,0.8645,0.0357,1.0,0.6998,0.0638
mnist,superposition,overlay,overlay,2,0.7598,0.8535,0.0338,0.0,0.676,0.0682
mnist,superposition,partition,overlay,0,0.4524,0.7107,0.0309,0.0,0.3651,0.0383
mnist,superposition,partition,overlay,1,0.4436,0.7024,0.0351,0.0,0.3775,0.0405
mnist,superposition,partition,overlay,2,0.3924,0.7033,0.0469,0.0,0.3277,0.0508
mnist,superposition,cutmix,overlay,0,0.4714,0.6638,0.0542,0.0,0.4324,0.0875
mnist,superposition,cutmix,overlay,1,0.4516,0.6534,0.0608,0.0,0.4197,0.0935
mnist,superposition,cutmix,overlay,2,0.416,0.6585,0.0591,0.0,0.3775,0.0835
mnist,superposition,mixup,overlay,0,0.5345,0.7388,0.0383,1.0,0.4576,0.0438
mnist,superposition,mixup,overlay,1,0.4384,0.7349,0.0562,1.0,0.3829,0.0573
mnist,superposition,mixup,overlay,2,0.4502,0.7411,0.0413,1.0,0.3801,0.0466
mnist,superposition,single_only,overlay,0,0.3999,0.6635,0.0254,1.0,0.3009,0.0326
mnist,superposition,single_only,overlay,1,0.3499,0.6312,0.0489,0.0,0.292,0.0553
