dataset,arm,matched,backbone,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob,n_train
landcover,single_only,partition,resnet18,0,0.3924,0.7938,0.0631,0.0,0.2821,0.0774,587
landcover,single_only,partition,resnet18,1,0.3729,0.7503,0.0773,0.0,0.2822,0.093,587
landcover,single_only,partition,resnet18,2,0.3679,0.7746,0.0567,0.0,0.2802,0.0695,587
landcover,partition,partition,resnet18,0,0.721,0.7973,0.4059,0.0,0.7359,0.419,2587
landcover,partition,partition,resnet18,1,0.7274,0.8014,0.4613,0.0,0.7549,0.48,2587
landcover,partition,partition,resnet18,2,0.7137,0.7987,0.4072,0.0,0.7302,0.4256,2587
landcover,overlay,partition,resnet18,0,0.4145,0.7605,0.0786,1.0,0.2959,0.095,2587
landcover,overlay,partition,resnet18,1,0.3931,0.7763,0.0593,1.0,0.2772,0.0666,2587
landcover,overlay,partition,resnet18,2,0.4654,0.7914,0.107,1.0,0.3595,0.1156,2587
landcover,cutmix,partition,resnet18,0,0.5312,0.7939,0.1031,1.0,0.4589,0.1127,2587
landcover,cutmix,partition,resnet18,1,0.5335,0.7729,0.2216,1.0,0.4313,0.2381,2587
landcover,cutmix,partition,resnet18,2,0.53,0.7876,0.0812,0.0,0.4209,0.1,2587
landcover,mixup,partition,resnet18,0,0.5014,0.7847,0.0773,1.0,0.3901,0.0809,2587
landcover,mixup,partition,resnet18,1,0.507,0.7838,0.0902,1.0,0.3916,0.0914,2587
landcover,mixup,partition,resnet18,2,0.5003,0.7666,0.1353,1.0,0.378,0.145,2587
landcover,oracle,partition,resnet18,0,0.8737,0.9354,0.1856,0.0,0.875,0.2031,1587
landcover,oracle,partition,resnet18,1,0.8736,0.9403,0.183,0.0,0.8718,0.201,1587
landcover,oracle,partition,resnet18,2,0.8764,0.9366,0.2088,0.0,0.8843,0.2279,1587
