dataset,arm,matched,backbone,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob,n_train
landcover,single_only,partition,resnet18,0,0.0,0.6491,0.0,0.0,0.2107,0.1891,587
landcover,single_only,partition,resnet18,1,0.0,0.669,0.0,0.0,0.1946,0.1919,587
landcover,single_only,partition,resnet18,2,0.0,0.6728,0.0,0.0,0.2104,0.1927,587
landcover,partition,partition,resnet18,0,0.4583,0.7188,0.549,1.0,0.4649,0.5132,2587
landcover,partition,partition,resnet18,1,0.0,0.6405,0.0,0.0,0.3592,0.3512,2587
landcover,partition,partition,resnet18,2,0.0,0.6341,0.0,0.0,0.3578,0.3622,2587
landcover,cutmix,partition,resnet18,0,0.0,0.6223,0.0,0.0,0.355,0.3556,2587
landcover,cutmix,partition,resnet18,1,0.0,0.6231,0.0,0.0,0.3607,0.3567,2587
landcover,cutmix,partition,resnet18,2,0.0,0.6343,0.0,0.0,0.3599,0.3546,2587
landcover,overlay,partition,resnet18,0,0.0,0.6549,0.0,0.0,0.3689,0.3593,2587
landcover,overlay,partition,resnet18,1,0.0,0.6296,0.0,0.0,0.3639,0.3537,2587
landcover,overlay,partition,resnet18,2,0.0,0.5705,0.0,0.0,0.3561,0.3557,2587
landcover,mixup,partition,resnet18,0,0.0,0.6422,0.0,0.0,0.3691,0.3528,2587
landcover,mixup,partition,resnet18,1,0.0,0.6454,0.0,0.0,0.3591,0.364,2587
landcover,mixup,partition,resnet18,2,0.0,0.6187,0.0,0.0,0.3595,0.3589,2587
landcover,oracle,partition,resnet18,0,0.4999,0.6484,0.4291,1.0,0.6703,0.5768,1587
landcover,oracle,partition,resnet18,1,0.345,0.6056,0.2474,1.0,0.5038,0.4452,1587
landcover,oracle,partition,resnet18,2,0.345,0.5953,0.2474,1.0,0.4853,0.4285,1587
