dataset,arm,matched,backbone,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob,n_train
landcover,single_only,partition,resnet18,0,0.3665,0.762,0.1585,0.0,0.259,0.1828,587
landcover,single_only,partition,resnet18,1,0.3581,0.7653,0.0735,0.0,0.3099,0.0807,587
landcover,single_only,partition,resnet18,2,0.3779,0.7636,0.0606,0.0,0.2823,0.0801,587
landcover,partition,partition,resnet18,0,0.5883,0.8005,0.1057,0.0,0.4618,0.1118,2587
landcover,partition,partition,resnet18,1,0.5984,0.8025,0.1276,0.0,0.481,0.133,2587
landcover,partition,partition,resnet18,2,0.5929,0.7888,0.1353,0.0,0.4866,0.1421,2587
landcover,partition_realistic,partition,resnet18,0,0.7395,0.8432,0.1933,0.0,0.6625,0.2233,2587
landcover,partition_realistic,partition,resnet18,1,0.7286,0.8296,0.2139,0.0,0.6596,0.2257,2587
landcover,partition_realistic,partition,resnet18,2,0.7272,0.8242,0.192,0.0,0.6608,0.2163,2587
landcover,overlay,partition,resnet18,0,0.3529,0.7548,0.0567,1.0,0.2667,0.0636,2587
landcover,overlay,partition,resnet18,1,0.4376,0.7863,0.076,1.0,0.3504,0.0814,2587
landcover,overlay,partition,resnet18,2,0.3746,0.7884,0.0683,0.0,0.2787,0.0753,2587
landcover,cutmix,partition,resnet18,0,0.5525,0.7769,0.1082,0.0,0.4707,0.1194,2587
landcover,cutmix,partition,resnet18,1,0.5492,0.7803,0.1186,1.0,0.4285,0.1311,2587
landcover,cutmix,partition,resnet18,2,0.5314,0.7871,0.107,0.0,0.402,0.124,2587
landcover,mixup,partition,resnet18,0,0.4726,0.7716,0.0644,1.0,0.4088,0.0685,2587
landcover,mixup,partition,resnet18,1,0.4933,0.7926,0.0863,1.0,0.3724,0.086,2587
landcover,mixup,partition,resnet18,2,0.5034,0.789,0.0928,1.0,0.3715,0.0931,2587
landcover,oracle,partition,resnet18,0,0.8827,0.9366,0.1714,0.0,0.8776,0.1982,1587
landcover,oracle,partition,resnet18,1,0.8744,0.9378,0.192,0.0,0.877,0.2048,1587
landcover,oracle,partition,resnet18,2,0.8685,0.9368,0.2242,0.0,0.8789,0.2302,1587
