dataset,regime,arm,matched_op,seed,g,split,bit_f1,mAP,far,pos_prob,neg_prob
mnist,partition,profile_scan,partition,0,0.0,val,0.891,0.9615,0.0176,0.8559,0.0294
mnist,partition,profile_scan,partition,0,0.25,val,0.8649,0.9622,0.0257,0.8509,0.0378
mnist,partition,profile_scan,partition,0,0.5,val,0.8206,0.9474,0.0255,0.8111,0.0342
mnist,partition,profile_scan,partition,0,0.75,val,0.723,0.9214,0.062,0.7594,0.0717
mnist,partition,profile_scan,partition,0,1.0,val,0.6468,0.9087,0.0066,0.5365,0.0099
mnist,partition,learned_grad,partition,0,0.018,test,0.9002,0.9649,0.019,0.8663,0.0311
mnist,partition,learned_profile,partition,0,0.0,test,0.8704,0.9627,0.0208,0.8418,0.034
mnist,partition,matched,partition,0,0.0,test,0.8813,0.9645,0.02,0.8538,0.0323
mnist,partition,mismatched,partition,0,1.0,test,0.6489,0.905,0.0039,0.5352,0.006
mnist,partition,profile_scan,partition,1,0.0,val,0.9029,0.9686,0.0176,0.8763,0.0272
mnist,partition,profile_scan,partition,1,0.25,val,0.9151,0.9707,0.0185,0.8949,0.0262
mnist,partition,profile_scan,partition,1,0.5,val,0.8799,0.9541,0.0257,0.8591,0.0336
mnist,partition,profile_scan,partition,1,0.75,val,0.8228,0.938,0.0195,0.7838,0.0266
mnist,partition,profile_scan,partition,1,1.0,val,0.6288,0.9211,0.0045,0.4894,0.0063
mnist,partition,learned_grad,partition,1,0.0083,test,0.9169,0.9736,0.0187,0.8939,0.0276
mnist,partition,learned_profile,partition,1,0.25,test,0.9198,0.9767,0.0161,0.895,0.024
mnist,partition,matched,partition,1,0.0,test,0.9122,0.9743,0.0171,0.8837,0.0257
mnist,partition,mismatched,partition,1,1.0,test,0.6511,0.9071,0.0051,0.5222,0.0073
mnist,partition,profile_scan,partition,2,0.0,val,0.9068,0.9698,0.0194,0.8729,0.0278
mnist,partition,profile_scan,partition,2,0.25,val,0.9034,0.963,0.0196,0.8677,0.0317
mnist,partition,profile_scan,partition,2,0.5,val,0.8411,0.9457,0.0323,0.808,0.0469
