regime,arm,matched,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob
partition,overlay,partition,0,0.6582,0.8937,0.0076,0.0,0.5309,0.0141
partition,overlay,partition,1,0.6685,0.8963,0.0173,0.0,0.5882,0.0278
partition,overlay,partition,2,0.5878,0.8419,0.0063,0.0,0.457,0.0166
partition,partition,partition,0,0.8624,0.9417,0.0249,0.0,0.8053,0.0479
partition,partition,partition,1,0.8879,0.96,0.0226,0.0,0.8404,0.0397
partition,partition,partition,2,0.8787,0.9479,0.0224,0.0,0.8231,0.0418
partition,single_only,partition,0,0.3143,0.6912,0.0071,1.0,0.2298,0.0194
partition,single_only,partition,1,0.342,0.6908,0.0112,1.0,0.2553,0.026
partition,single_only,partition,2,0.1935,0.63,0.0066,1.0,0.1684,0.0235
partition,oracle,partition,0,0.8727,0.9487,0.0222,0.0,0.8164,0.0421
partition,oracle,partition,1,0.8873,0.961,0.0217,0.0,0.8368,0.0391
partition,oracle,partition,2,0.8799,0.9525,0.0222,0.0,0.8249,0.0432
superposition,overlay,overlay,0,0.7013,0.8251,0.0359,0.0,0.6115,0.0765
superposition,overlay,overlay,1,0.7239,0.83,0.0372,0.0,0.6443,0.0886
superposition,overlay,overlay,2,0.6632,0.7948,0.0365,0.0,0.5659,0.0823
superposition,partition,overlay,0,0.4109,0.6962,0.0612,0.0,0.3553,0.068
superposition,partition,overlay,1,0.393,0.6991,0.0481,0.0,0.3452,0.057
superposition,partition,overlay,2,0.3961,0.7192,0.0494,0.0,0.3335,0.0564
superposition,single_only,overlay,0,0.2908,0.5937,0.0126,1.0,0.2304,0.0413
superposition,single_only,overlay,1,0.2841,0.5748,0.0237,1.0,0.2295,0.0544
superposition,single_only,overlay,2,0.1314,0.534,0.0034,1.0,0.1422,0.0325
superposition,oracle,overlay,0,0.7047,0.8209,0.0349,0.0,0.6121,0.0792
superposition,oracle,overlay,1,0.7214,0.8292,0.0351,0.0,0.6428,0.0876
superposition,oracle,overlay,2,0.6645,0.7891,0.0369,0.0,0.5633,0.085
