dataset,regime,arm,matched,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob
mnist,partition,overlay,partition,0,0.6513,0.9016,0.0042,1.0,0.5352,0.0063
mnist,partition,overlay,partition,1,0.681,0.9166,0.0042,1.0,0.5429,0.0065
mnist,partition,overlay,partition,2,0.6327,0.8911,0.0049,0.0,0.4985,0.0093
mnist,partition,partition,partition,0,0.8839,0.9637,0.0215,0.0,0.8525,0.0331
mnist,partition,partition,partition,1,0.9185,0.9741,0.0151,0.0,0.8869,0.0233
mnist,partition,partition,partition,2,0.9168,0.9733,0.0137,0.0,0.8765,0.0226
mnist,partition,single_only,partition,0,0.4501,0.809,0.0069,1.0,0.3286,0.0099
mnist,partition,single_only,partition,1,0.4689,0.8002,0.0083,1.0,0.3505,0.0115
mnist,partition,single_only,partition,2,0.456,0.7825,0.0076,1.0,0.3315,0.012
mnist,partition,oracle,partition,0,0.8975,0.9627,0.0183,0.0,0.8583,0.0315
mnist,partition,oracle,partition,1,0.9097,0.9728,0.0177,0.0,0.8804,0.0251
mnist,partition,oracle,partition,2,0.9161,0.9728,0.0145,0.0,0.8766,0.0236
mnist,superposition,overlay,overlay,0,0.7699,0.8604,0.0314,1.0,0.6957,0.0598
mnist,superposition,overlay,overlay,1,0.7618,0.8639,0.0328,0.0,0.6898,0.0612
mnist,superposition,overlay,overlay,2,0.753,0.8539,0.0368,0.0,0.6777,0.0692
mnist,superposition,partition,overlay,0,0.4708,0.7035,0.0304,0.0,0.3856,0.037
mnist,superposition,partition,overlay,1,0.4147,0.6899,0.0447,0.0,0.3524,0.0482
mnist,superposition,partition,overlay,2,0.3893,0.6992,0.0477,0.0,0.3233,0.0524
mnist,superposition,single_only,overlay,0,0.4007,0.66,0.0252,1.0,0.3043,0.033
mnist,superposition,single_only,overlay,1,0.3351,0.628,0.0512,0.0,0.2846,0.057
mnist,superposition,single_only,overlay,2,0.3598,0.6411,0.0415,1.0,0.2908,0.049
mnist,superposition,oracle,overlay,0,0.7678,0.8593,0.0313,1.0,0.6934,0.0608
mnist,superposition,oracle,overlay,1,0.7757,0.8665,0.0319,1.0,0.7022,0.0599
mnist,superposition,oracle,overlay,2,0.7458,0.8483,0.0328,0.0,0.6573,0.0671
fashionmnist,partition,overlay,partition,0,0.505,0.707,0.0319,0.0,0.4361,0.0588
fashionmnist,partition,overlay,partition,1,0.5685,0.718,0.0374,0.0,0.5018,0.0655
fashionmnist,partition,overlay,partition,2,0.5864,0.707,0.0528,0.0,0.5392,0.088
fashionmnist,partition,partition,partition,0,0.713,0.803,0.0425,0.0,0.6752,0.079
fashionmnist,partition,partition,partition,1,0.7179,0.8034,0.0462,0.0,0.6808,0.0817
fashionmnist,partition,partition,partition,2,0.7251,0.8069,0.046,0.0,0.6823,0.0846
fashionmnist,partition,single_only,partition,0,0.3259,0.6073,0.0225,1.0,0.2624,0.0373
fashionmnist,partition,single_only,partition,1,0.2874,0.5792,0.0244,0.0,0.2288,0.0445
fashionmnist,partition,single_only,partition,2,0.287,0.5932,0.0307,1.0,0.242,0.0453
fashionmnist,partition,oracle,partition,0,0.7126,0.8003,0.0406,0.0,0.6707,0.0767
fashionmnist,partition,oracle,partition,1,0.7269,0.8025,0.0458,0.0,0.6859,0.0805
fashionmnist,partition,oracle,partition,2,0.6999,0.8034,0.0451,0.0,0.6712,0.0858
fashionmnist,superposition,overlay,overlay,0,0.5831,0.7255,0.03,0.0,0.5022,0.0833
fashionmnist,superposition,overlay,overlay,1,0.5994,0.7294,0.0386,0.0,0.5359,0.0979
fashionmnist,superposition,overlay,overlay,2,0.5759,0.6985,0.0499,0.0,0.5373,0.111
fashionmnist,superposition,partition,overlay,0,0.2882,0.6083,0.0184,0.0,0.2467,0.0474
