dataset,arm,matched,backbone,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob
svhn,oracle,partition,resnet18,0,0.9072,0.9608,0.0155,0.0,0.8871,0.0183
svhn,oracle,partition,resnet18,1,0.9041,0.9569,0.0152,0.0,0.8796,0.0181
svhn,oracle,partition,resnet18,2,0.8727,0.9462,0.0238,0.0,0.8623,0.0285
svhn,single_only,partition,resnet18,0,0.4984,0.8671,0.0044,0.0,0.3508,0.0052
svhn,single_only,partition,resnet18,1,0.5489,0.8814,0.0044,0.0,0.3837,0.0055
svhn,single_only,partition,resnet18,2,0.5504,0.8821,0.0043,0.0,0.3921,0.0053
svhn,partition,partition,resnet18,0,0.8784,0.9412,0.0183,0.0,0.8401,0.0216
svhn,partition,partition,resnet18,1,0.8879,0.9439,0.0183,0.0,0.8562,0.0214
svhn,partition,partition,resnet18,2,0.8902,0.9476,0.0182,0.0,0.8579,0.0213
svhn,overlay,partition,resnet18,0,0.5167,0.7899,0.0103,0.0,0.3679,0.0122
svhn,overlay,partition,resnet18,1,0.5779,0.7835,0.0166,0.0,0.4298,0.0191
svhn,overlay,partition,resnet18,2,0.4478,0.7778,0.0075,0.0,0.3099,0.0088
svhn,cutmix,partition,resnet18,0,0.613,0.8459,0.0096,1.0,0.5099,0.0116
svhn,cutmix,partition,resnet18,1,0.704,0.8391,0.0183,0.0,0.5858,0.0217
svhn,cutmix,partition,resnet18,2,0.6895,0.8502,0.0164,0.0,0.5841,0.0194
svhn,mixup,partition,resnet18,0,0.7736,0.8864,0.025,0.0,0.6873,0.0291
svhn,mixup,partition,resnet18,1,0.7607,0.8797,0.0228,0.0,0.6849,0.0265
svhn,mixup,partition,resnet18,2,0.757,0.8572,0.0344,0.0,0.7023,0.0393
