tag,arm,cell_layout,grid,n_groups,neg_target,seed,real_bitF1,normal_FAR,best_ep
cutmix_neg0.05,cutmix,n/a,9,3,0.05,0,0.8523597247673925,0.481,24
cutmix_neg0.05,cutmix,n/a,9,3,0.05,1,0.8003169109199328,0.0,19
cutmix_neg0.05,cutmix,n/a,9,3,0.05,2,0.7979414264569611,0.067,22
cutmix_neg0.10,cutmix,n/a,9,3,0.1,0,0.8526315171292141,0.809,22
cutmix_neg0.10,cutmix,n/a,9,3,0.1,1,0.8631655623694855,0.042,23
cutmix_neg0.10,cutmix,n/a,9,3,0.1,2,0.8382129409317808,0.308,17
cutmix_neg0.20,cutmix,n/a,9,3,0.2,0,0.8622362277003829,0.807,25
cutmix_neg0.20,cutmix,n/a,9,3,0.2,1,0.8713518592596867,0.47,23
cutmix_neg0.20,cutmix,n/a,9,3,0.2,2,0.8624716231544373,0.243,22
fcmpm_cb_g3_grid9_neg0.05,fcm_pm,checkerboard,9,3,0.05,0,0.7396260099110058,0.158,25
fcmpm_cb_g3_grid9_neg0.05,fcm_pm,checkerboard,9,3,0.05,1,0.7376351080341444,0.085,23
fcmpm_cb_g3_grid9_neg0.05,fcm_pm,checkerboard,9,3,0.05,2,0.7251490650137374,0.003,25
fcmpm_cb_g3_grid9_neg0.10,fcm_pm,checkerboard,9,3,0.1,0,0.766536193681806,0.177,25
fcmpm_cb_g3_grid9_neg0.10,fcm_pm,checkerboard,9,3,0.1,1,0.7583229024196562,0.167,25
fcmpm_cb_g3_grid9_neg0.10,fcm_pm,checkerboard,9,3,0.1,2,0.7585215286672913,0.117,23
fcmpm_cb_g3_grid9_neg0.20,fcm_pm,checkerboard,9,3,0.2,0,0.7977443330680295,0.042,25
fcmpm_cb_g3_grid9_neg0.20,fcm_pm,checkerboard,9,3,0.2,1,0.776075987809576,0.289,18
fcmpm_cb_g3_grid9_neg0.20,fcm_pm,checkerboard,9,3,0.2,2,0.7939949321780579,0.029,25
fcmpm_cb_g4_grid16_neg0.05,fcm_pm,checkerboard,16,4,0.05,0,0.7237108153818549,0.287,22
fcmpm_cb_g4_grid16_neg0.05,fcm_pm,checkerboard,16,4,0.05,1,0.7185724751181265,0.016,24
fcmpm_cb_g4_grid16_neg0.05,fcm_pm,checkerboard,16,4,0.05,2,0.6725923964174397,0.004,23
fcmpm_cb_g4_grid16_neg0.10,fcm_pm,checkerboard,16,4,0.1,0,0.7383661595098513,0.082,25
fcmpm_cb_g4_grid16_neg0.10,fcm_pm,checkerboard,16,4,0.1,1,0.7110408806880182,0.196,24
fcmpm_cb_g4_grid16_neg0.10,fcm_pm,checkerboard,16,4,0.1,2,0.6925208260671095,0.008,25
fcmpm_cb_g4_grid16_neg0.20,fcm_pm,checkerboard,16,4,0.2,0,0.7542612298599196,0.11,25
fcmpm_cb_g4_grid16_neg0.20,fcm_pm,checkerboard,16,4,0.2,1,0.757336666365987,0.13,24
fcmpm_cb_g4_grid16_neg0.20,fcm_pm,checkerboard,16,4,0.2,2,0.7382856323243089,0.024,24
fcmpm_cb_g3_grid12_neg0.05,fcm_pm,checkerboard,12,3,0.05,0,0.7203730267500513,0.318,25
fcmpm_cb_g3_grid12_neg0.05,fcm_pm,checkerboard,12,3,0.05,1,0.7284878350422749,0.131,22
fcmpm_cb_g3_grid12_neg0.05,fcm_pm,checkerboard,12,3,0.05,2,0.7108172247258592,0.003,23
fcmpm_cb_g3_grid12_neg0.10,fcm_pm,checkerboard,12,3,0.1,0,0.7410499907140925,0.344,25
fcmpm_cb_g3_grid12_neg0.10,fcm_pm,checkerboard,12,3,0.1,1,0.7316576351467106,0.342,22
fcmpm_cb_g3_grid12_neg0.10,fcm_pm,checkerboard,12,3,0.1,2,0.7408518876697571,0.013,25
fcmpm_cb_g3_grid12_neg0.20,fcm_pm,checkerboard,12,3,0.2,0,0.7683476464704454,0.083,25
fcmpm_cb_g3_grid12_neg0.20,fcm_pm,checkerboard,12,3,0.2,1,0.7545001003128529,0.572,22
fcmpm_cb_g3_grid12_neg0.20,fcm_pm,checkerboard,12,3,0.2,2,0.7798926877933545,0.011,22
fcmpm_rand_g3_grid9_neg0.10,fcm_pm,random,9,3,0.1,0,0.7089958136129556,0.615,13
fcmpm_rand_g3_grid9_neg0.10,fcm_pm,random,9,3,0.1,1,0.7718557763375326,0.167,25
fcmpm_rand_g3_grid9_neg0.10,fcm_pm,random,9,3,0.1,2,0.7509719797464592,0.014,22
fcmpm_rand_g3_grid9_neg0.20,fcm_pm,random,9,3,0.2,0,0.7513558927836835,0.709,13
fcmpm_rand_g3_grid9_neg0.20,fcm_pm,random,9,3,0.2,1,0.784913501972314,0.493,25
fcmpm_rand_g3_grid9_neg0.20,fcm_pm,random,9,3,0.2,2,0.7972723502426158,0.047,25
