tag,arm,cell_layout,grid,n_groups,neg_target,seed,real_bitF1,normal_FAR,best_ep,bitF1_farq01,bitF1_farq05,bitF1_farq10
cutmix_neg0.05,cutmix,n/a,9,3,0.05,0,0.8250691956837081,0.588,22,0.6982440465475158,0.7229910009592823,0.7346869186868711
cutmix_neg0.05,cutmix,n/a,9,3,0.05,1,0.8394179049667465,0.083,23,0.8229810883446004,0.8338952754710339,0.8419951065451613
cutmix_neg0.05,cutmix,n/a,9,3,0.05,2,0.796238183917176,0.127,22,0.7646889986682185,0.782394202244867,0.7923696131691069
cutmix_neg0.10,cutmix,n/a,9,3,0.1,0,0.8544897800517791,0.787,22,0.6737845839563513,0.6977851524017583,0.7099241754920174
cutmix_neg0.10,cutmix,n/a,9,3,0.1,1,0.8234994981776609,0.343,21,0.7550845399827287,0.7785313185856032,0.7902026370744212
cutmix_neg0.10,cutmix,n/a,9,3,0.1,2,0.8361702186755741,0.092,22,0.8186376346917399,0.8310466211410041,0.8364814437352336
cutmix_neg0.20,cutmix,n/a,9,3,0.2,0,0.8611186841309887,0.721,25,0.7752861104512774,0.7904364833234784,0.8026787004187602
cutmix_neg0.20,cutmix,n/a,9,3,0.2,1,0.8491681728520755,0.043,19,0.840249862652929,0.8500994222337327,0.8533705117086307
cutmix_neg0.20,cutmix,n/a,9,3,0.2,2,0.8556699639224282,0.096,22,0.8404690481735604,0.8504348589032543,0.856086234719041
fcmpm_cb_g2_grid6_neg0.05,fcm_pm,checkerboard,6,2,0.05,0,0.7516157489193742,0.135,23,0.7127408577220025,0.7346701982486902,0.7460484647363356
fcmpm_cb_g2_grid6_neg0.05,fcm_pm,checkerboard,6,2,0.05,1,0.7655558487379849,0.065,20,0.7323764921310572,0.7617020972887243,0.7757957940938286
fcmpm_cb_g2_grid6_neg0.05,fcm_pm,checkerboard,6,2,0.05,2,0.760272672014156,0.021,21,0.7404611342413149,0.7774822734955446,0.7859745824863426
fcmpm_cb_g2_grid6_neg0.10,fcm_pm,checkerboard,6,2,0.1,0,0.7773450671474275,0.044,21,0.7561586525603717,0.7791906022716796,0.7872789454142427
fcmpm_cb_g2_grid6_neg0.10,fcm_pm,checkerboard,6,2,0.1,1,0.7875669643776488,0.037,20,0.7707104549030052,0.7925306942813237,0.8037106629818953
fcmpm_cb_g2_grid6_neg0.10,fcm_pm,checkerboard,6,2,0.1,2,0.7741406358319574,0.004,18,0.7925912736006802,0.7987543124646508,0.8025175421730757
fcmpm_cb_g2_grid6_neg0.20,fcm_pm,checkerboard,6,2,0.2,0,0.8066826046862201,0.163,21,0.7776509621428711,0.7932470816055766,0.8023725055626104
fcmpm_cb_g2_grid6_neg0.20,fcm_pm,checkerboard,6,2,0.2,1,0.7965177002628244,0.315,25,0.7158280812103399,0.7509580071844838,0.7664758122439165
fcmpm_cb_g2_grid6_neg0.20,fcm_pm,checkerboard,6,2,0.2,2,0.7884702124557782,0.049,18,0.7754949967017642,0.7884702124557782,0.7929921833414855
fcmpm_cb_g2_grid8_neg0.05,fcm_pm,checkerboard,8,2,0.05,0,0.7655581339745464,0.042,24,0.743165143411641,0.766591420452288,0.778947215344218
fcmpm_cb_g2_grid8_neg0.05,fcm_pm,checkerboard,8,2,0.05,1,0.7184895032697534,0.007,22,0.7222448522972845,0.7354296715333323,0.7394639341543195
fcmpm_cb_g2_grid8_neg0.05,fcm_pm,checkerboard,8,2,0.05,2,0.7526472449476996,0.001,23,0.7758770491492758,0.7850967035117415,0.789870448683691
fcmpm_cb_g2_grid8_neg0.10,fcm_pm,checkerboard,8,2,0.1,0,0.772512444560986,0.02,22,0.7681968415060408,0.7893581207149943,0.7960064055439613
fcmpm_cb_g2_grid8_neg0.10,fcm_pm,checkerboard,8,2,0.1,1,0.7384682302869535,0.035,22,0.7256015166653543,0.7408700544586994,0.7468480926382481
