arm,seed,scope,n_eval,raw_bitF1,normal_FAR,F1@FAR1,F1@FAR5,F1@FAR10
single_only,0,all,3000,0.5692900476510241,0.034,0.5302506411671698,0.5826223351216345,0.5958333875742531
single_only,0,pos2,1330,0.6648563027331996,0.034,0.6507494624309699,0.6698028792346875,0.6720814091111594
single_only,1,all,3000,0.5224617123040859,0.014,0.5203442617599167,0.5384936561890429,0.554225127887924
single_only,1,pos2,1330,0.6755495159544825,0.014,0.6744014468872718,0.6831827131077355,0.6906860641708268
single_only,2,all,3000,0.5826830858171472,0.006,0.6331879311908495,0.6844322046914216,0.6965162589863484
single_only,2,pos2,1330,0.7094281320916035,0.006,0.7413897929102414,0.7757097140404284,0.782256803368737
fcm_pm,0,all,3000,0.7429594102254077,0.164,0.6773400912141071,0.713470997700608,0.7320095607702323
fcm_pm,0,pos2,1330,0.8867089522516206,0.164,0.8352786691388224,0.8639103296106315,0.8775748409642298
fcm_pm,1,all,3000,0.741758850386775,0.015,0.7359358291817287,0.751922021418744,0.7597595007275966
fcm_pm,1,pos2,1330,0.8453400845055437,0.015,0.8401113997039674,0.8548711846717096,0.8627741630413688
fcm_pm,2,all,3000,0.7328227338522194,0.001,0.7677639349708579,0.7785156889169825,0.7830326651020089
fcm_pm,2,pos2,1330,0.8422375393910556,0.001,0.8714784807988988,0.8817506906926167,0.8848539945328789
cutmix,0,all,3000,0.8282902728520779,0.541,0.7391958425952526,0.7586229234488994,0.7703372869195295
cutmix,0,pos2,1330,0.9373578782869593,0.541,0.8771527177693642,0.8889387841990176,0.8990581467661828
cutmix,1,all,3000,0.8412785413950706,0.083,0.8243320427557387,0.8377094935331205,0.8440050517537037
cutmix,1,pos2,1330,0.945594761514216,0.083,0.943700311559937,0.9456587927490553,0.9461825332556394
cutmix,2,all,3000,0.7892014513994838,0.047,0.7733204547941642,0.7902457212679036,0.8008397385920126
cutmix,2,pos2,1330,0.9113827061421058,0.047,0.9015024240530697,0.9121036529433413,0.9186587390825095
mixup,0,all,3000,0.6533459126953078,0.004,0.6698088584554746,0.6995230485970301,0.7152571134762726
mixup,0,pos2,1330,0.7770369384288128,0.004,0.7870614585584703,0.8083820437586912,0.8192699880660609
mixup,1,all,3000,0.6252156966318551,0.001,0.6528829872272276,0.6813334840472521,0.6912418314789334
mixup,1,pos2,1330,0.76884462044114,0.001,0.7881168032069373,0.8044726339310558,0.8104942612202999
mixup,2,all,3000,0.6810142742155972,0.002,0.7112451430361787,0.7327041008870019,0.7457319565416684
mixup,2,pos2,1330,0.794569906250886,0.002,0.8155326400545473,0.8355772113761933,0.8462901071741254
overlay,0,all,3000,0.8146443334805545,0.014,0.8062633748828295,0.8343543393205684,0.84885468592809
overlay,0,pos2,1330,0.911085004508938,0.014,0.9043244561509317,0.929522225423368,0.941643475384568
overlay,1,all,3000,0.8027766515391287,0.062,0.7534876108601168,0.8001903235458165,0.8118343506711002
overlay,1,pos2,1330,0.9043676991139612,0.062,0.8578171049465393,0.9012994362349777,0.9110298458560289
overlay,2,all,3000,0.8008037225896079,0.003,0.815984255232837,0.8450185947984442,0.8573795043695377
overlay,2,pos2,1330,0.9150064009681329,0.003,0.9272880322985874,0.9464608147744554,0.952377271401772
oracle,0,all,3000,0.980011524883435,0.0,0.9573519904286608,0.9496753629639668,0.9440345118344546
oracle,0,pos2,1330,0.9784514651587677,0.0,0.9377271286928234,0.9266162674642248,0.9179607479745734
oracle,1,all,3000,0.9808506089886003,0.0,0.9758909296846917,0.973045120406495,0.9713550845048907
oracle,1,pos2,1330,0.978774722831499,0.0,0.9662496766536605,0.9609364250756102,0.9591576869178885
oracle,2,all,3000,0.9767183018304637,0.0,0.9321357308411141,0.9221278044622689,0.91644044655772
oracle,2,pos2,1330,0.978462691504267,0.0,0.9166932863959264,0.9035092568645399,0.896400658743898
